"NID","PE","ING","AL","AD","V","A","O","D"
358.00,3.00,41121.00,9175.00,4524.00,0.00,0.00,0.00,24.00
359.00,3.00,45901.00,9544.00,3405.00,0.00,0.00,0.00,24.00
360.00,4.00,40345.00,9034.00,3976.00,0.00,0.00,1.00,24.00
361.00,2.00,39273.00,7916.00,4212.00,0.00,0.00,0.00,25.00
362.00,3.00,36845.00,7285.00,4086.00,0.00,0.00,0.00,25.00
363.00,3.00,38809.00,7616.00,4143.00,1.00,0.00,0.00,25.00
364.00,3.00,39924.00,8975.00,2587.00,1.00,0.00,0.00,25.00
365.00,1.00,48152.00,10021.00,4163.00,1.00,0.00,0.00,25.00
366.00,2.00,42489.00,8326.00,4175.00,0.00,1.00,0.00,25.00
367.00,4.00,44308.00,8918.00,3881.00,0.00,0.00,0.00,25.00
368.00,4.00,41503.00,7834.00,4121.00,1.00,0.00,0.00,25.00
369.00,2.00,37358.00,8158.00,2978.00,0.00,0.00,0.00,25.00
370.00,1.00,34963.00,6256.00,3595.00,1.00,1.00,0.00,25.00
371.00,5.00,37882.00,7932.00,3862.00,1.00,0.00,0.00,25.00
372.00,3.00,38966.00,8528.00,4061.00,1.00,1.00,0.00,25.00
373.00,4.00,38755.00,8599.00,2748.00,0.00,0.00,0.00,25.00
374.00,2.00,42717.00,8637.00,4403.00,1.00,0.00,0.00,25.00
375.00,3.00,43319.00,10071.00,4885.00,0.00,0.00,0.00,25.00
376.00,2.00,54774.00,9613.00,4084.00,1.00,0.00,0.00,25.00
377.00,3.00,32728.00,6511.00,2805.00,1.00,1.00,0.00,25.00
378.00,2.00,36555.00,7376.00,3158.00,0.00,0.00,0.00,25.00
379.00,4.00,42794.00,9280.00,3308.00,1.00,1.00,0.00,25.00
380.00,4.00,45478.00,9374.00,5251.00,1.00,0.00,0.00,25.00
381.00,1.00,36127.00,7422.00,3748.00,0.00,0.00,0.00,26.00
382.00,3.00,36329.00,7358.00,4124.00,0.00,0.00,0.00,26.00
383.00,4.00,40103.00,8000.00,3731.00,0.00,1.00,0.00,26.00
384.00,1.00,46695.00,9829.00,4977.00,0.00,0.00,0.00,26.00
385.00,3.00,46332.00,9846.00,5604.00,0.00,1.00,0.00,26.00
386.00,4.00,46949.00,9153.00,4554.00,1.00,1.00,0.00,26.00
387.00,2.00,44708.00,8941.00,3474.00,1.00,0.00,0.00,26.00
388.00,1.00,38667.00,7358.00,4144.00,0.00,0.00,0.00,26.00
389.00,2.00,46201.00,10133.00,4729.00,0.00,1.00,0.00,26.00
390.00,4.00,48307.00,11035.00,4136.00,1.00,0.00,0.00,26.00
391.00,4.00,41896.00,7480.00,3593.00,0.00,0.00,0.00,27.00
392.00,2.00,44631.00,9207.00,5288.00,1.00,1.00,0.00,27.00
393.00,2.00,36554.00,6957.00,3992.00,1.00,0.00,0.00,27.00
394.00,3.00,44115.00,9710.00,4304.00,0.00,0.00,0.00,27.00
395.00,5.00,43914.00,9254.00,4665.00,1.00,1.00,0.00,27.00
396.00,3.00,31257.00,6163.00,3464.00,0.00,0.00,0.00,27.00
397.00,3.00,39205.00,7551.00,4256.00,0.00,0.00,0.00,27.00
398.00,5.00,40472.00,7990.00,3563.00,0.00,0.00,0.00,27.00
399.00,1.00,47606.00,10637.00,4286.00,1.00,1.00,0.00,27.00
400.00,4.00,36443.00,7385.00,3900.00,0.00,1.00,0.00,27.00
401.00,2.00,45420.00,9100.00,4543.00,0.00,1.00,0.00,27.00
402.00,3.00,38160.00,7854.00,4833.00,1.00,0.00,0.00,27.00
403.00,3.00,36619.00,7726.00,3117.00,0.00,1.00,0.00,27.00
404.00,4.00,40750.00,8658.00,3825.00,1.00,1.00,0.00,27.00
405.00,1.00,34168.00,6069.00,3069.00,1.00,0.00,0.00,27.00
406.00,2.00,41624.00,8349.00,4376.00,1.00,0.00,0.00,28.00
407.00,4.00,51478.00,9766.00,4887.00,0.00,0.00,0.00,28.00
408.00,2.00,41043.00,8124.00,3998.00,0.00,0.00,0.00,28.00
409.00,4.00,40788.00,8119.00,4213.00,1.00,0.00,0.00,28.00
410.00,4.00,43026.00,9529.00,3280.00,1.00,0.00,0.00,28.00
411.00,1.00,48384.00,9306.00,5904.00,1.00,0.00,0.00,28.00
412.00,2.00,37056.00,7474.00,3025.00,0.00,1.00,1.00,28.00
413.00,2.00,37717.00,7378.00,3619.00,1.00,0.00,1.00,28.00
414.00,3.00,35306.00,7196.00,3897.00,0.00,0.00,0.00,28.00
415.00,2.00,51783.00,9730.00,6333.00,1.00,1.00,0.00,28.00
416.00,1.00,40555.00,7888.00,3582.00,1.00,0.00,0.00,28.00
417.00,1.00,41944.00,8033.00,3845.00,1.00,0.00,0.00,28.00
418.00,3.00,42686.00,9284.00,3664.00,1.00,0.00,0.00,28.00
419.00,1.00,37887.00,8018.00,3870.00,1.00,1.00,0.00,28.00
420.00,1.00,43039.00,8095.00,6076.00,1.00,1.00,0.00,28.00
421.00,2.00,38898.00,8173.00,4380.00,0.00,0.00,0.00,28.00
422.00,2.00,47048.00,9822.00,5282.00,0.00,1.00,0.00,28.00
423.00,4.00,46346.00,9241.00,5074.00,1.00,0.00,0.00,28.00
424.00,1.00,37910.00,7911.00,3655.00,0.00,0.00,0.00,28.00
425.00,5.00,42444.00,8327.00,4009.00,1.00,1.00,0.00,28.00
426.00,4.00,33632.00,7131.00,2295.00,0.00,0.00,0.00,29.00
427.00,1.00,37245.00,7211.00,3561.00,0.00,0.00,0.00,29.00
428.00,2.00,33055.00,6109.00,2927.00,1.00,1.00,0.00,29.00
429.00,3.00,40689.00,6891.00,4127.00,1.00,1.00,0.00,29.00
430.00,3.00,34488.00,7337.00,2687.00,1.00,1.00,0.00,29.00
431.00,2.00,35628.00,7732.00,3713.00,0.00,1.00,0.00,29.00
432.00,2.00,34777.00,7569.00,3588.00,1.00,1.00,0.00,29.00
433.00,2.00,42261.00,9730.00,5062.00,1.00,0.00,1.00,29.00
434.00,2.00,33114.00,7318.00,3056.00,0.00,1.00,0.00,29.00
435.00,2.00,40723.00,7576.00,4248.00,1.00,0.00,0.00,29.00
436.00,2.00,39005.00,8988.00,3520.00,1.00,1.00,0.00,30.00
437.00,4.00,42781.00,7602.00,5736.00,0.00,1.00,0.00,30.00
438.00,3.00,38735.00,6488.00,3882.00,1.00,0.00,0.00,30.00
439.00,1.00,32065.00,5709.00,2832.00,0.00,0.00,0.00,30.00
440.00,1.00,35739.00,7066.00,3417.00,1.00,0.00,0.00,30.00
441.00,3.00,41183.00,8710.00,3307.00,1.00,0.00,0.00,30.00
442.00,4.00,33631.00,6614.00,4189.00,1.00,0.00,0.00,30.00
443.00,4.00,44699.00,9759.00,5024.00,0.00,0.00,1.00,30.00
444.00,2.00,47639.00,9819.00,5387.00,1.00,0.00,0.00,30.00
445.00,3.00,40597.00,8272.00,3848.00,1.00,0.00,0.00,30.00
446.00,1.00,51988.00,11381.00,5398.00,0.00,1.00,0.00,30.00
447.00,4.00,30654.00,6726.00,3218.00,1.00,0.00,0.00,30.00
448.00,1.00,33726.00,6691.00,3226.00,0.00,0.00,0.00,30.00
449.00,4.00,43463.00,9057.00,2950.00,1.00,0.00,0.00,30.00
450.00,1.00,38675.00,8439.00,2885.00,0.00,0.00,0.00,30.00
451.00,4.00,43871.00,8611.00,4190.00,1.00,1.00,0.00,31.00
452.00,4.00,39111.00,7747.00,3833.00,1.00,1.00,0.00,31.00
453.00,3.00,45570.00,8257.00,4872.00,0.00,0.00,0.00,31.00
454.00,3.00,36406.00,7897.00,4001.00,0.00,1.00,0.00,31.00
455.00,1.00,40785.00,8044.00,4278.00,0.00,1.00,0.00,31.00
456.00,5.00,31695.00,7022.00,4228.00,0.00,0.00,0.00,31.00
457.00,2.00,38715.00,7167.00,4716.00,1.00,0.00,0.00,31.00
458.00,3.00,49722.00,8965.00,4182.00,1.00,1.00,0.00,31.00
459.00,3.00,48721.00,9254.00,5302.00,1.00,1.00,0.00,31.00
460.00,2.00,41785.00,7959.00,5131.00,0.00,0.00,1.00,31.00
461.00,5.00,36659.00,6519.00,3963.00,0.00,0.00,0.00,31.00
462.00,3.00,44220.00,8190.00,4401.00,1.00,0.00,1.00,31.00
463.00,1.00,49331.00,10908.00,4748.00,0.00,0.00,0.00,31.00
464.00,3.00,35556.00,6469.00,3162.00,0.00,1.00,0.00,31.00
465.00,3.00,36985.00,8021.00,4573.00,0.00,0.00,0.00,31.00
466.00,4.00,44943.00,8719.00,4575.00,0.00,1.00,0.00,31.00
467.00,1.00,37929.00,8366.00,2673.00,1.00,0.00,0.00,31.00
468.00,1.00,36058.00,7646.00,3164.00,1.00,0.00,0.00,31.00
469.00,4.00,41432.00,8178.00,3375.00,0.00,0.00,1.00,31.00
470.00,2.00,37013.00,7602.00,3516.00,1.00,0.00,0.00,31.00
471.00,4.00,31089.00,6495.00,2848.00,0.00,0.00,0.00,32.00
472.00,4.00,37665.00,7592.00,4323.00,1.00,0.00,0.00,32.00
473.00,2.00,39840.00,8926.00,3413.00,0.00,1.00,0.00,32.00
474.00,4.00,43339.00,8287.00,4691.00,1.00,0.00,0.00,32.00
475.00,5.00,37862.00,6936.00,4148.00,1.00,1.00,0.00,32.00
476.00,3.00,34296.00,7409.00,2770.00,1.00,0.00,0.00,32.00
477.00,2.00,44085.00,10368.00,4507.00,1.00,1.00,0.00,32.00
478.00,4.00,35305.00,6603.00,3251.00,1.00,1.00,0.00,32.00
479.00,2.00,44530.00,8941.00,3759.00,0.00,1.00,0.00,32.00
480.00,2.00,52149.00,11708.00,6205.00,1.00,0.00,0.00,32.00
481.00,2.00,40556.00,7942.00,5152.00,1.00,1.00,1.00,33.00
482.00,1.00,39973.00,9246.00,2895.00,1.00,1.00,0.00,33.00
483.00,1.00,39164.00,8992.00,4305.00,0.00,0.00,0.00,33.00
484.00,4.00,37521.00,7914.00,3077.00,1.00,1.00,0.00,33.00
485.00,3.00,32065.00,6304.00,3730.00,0.00,0.00,0.00,33.00
486.00,2.00,42847.00,8956.00,3688.00,1.00,0.00,0.00,33.00
487.00,4.00,36485.00,6985.00,3575.00,1.00,0.00,0.00,33.00
488.00,2.00,36138.00,7016.00,2506.00,1.00,0.00,0.00,33.00
489.00,5.00,49936.00,9411.00,4738.00,1.00,0.00,1.00,33.00
490.00,1.00,35271.00,7903.00,4097.00,0.00,1.00,0.00,33.00
491.00,3.00,39604.00,6870.00,2931.00,1.00,1.00,1.00,33.00
492.00,4.00,50727.00,11238.00,4475.00,0.00,0.00,0.00,33.00
493.00,3.00,40961.00,7704.00,3931.00,1.00,0.00,0.00,33.00
494.00,4.00,44892.00,9852.00,5732.00,0.00,1.00,0.00,33.00
495.00,1.00,40852.00,7928.00,4646.00,0.00,1.00,0.00,33.00
496.00,3.00,32730.00,6660.00,3115.00,1.00,1.00,0.00,34.00
497.00,5.00,48894.00,9647.00,6215.00,1.00,0.00,1.00,34.00
498.00,1.00,37625.00,6925.00,2957.00,1.00,1.00,0.00,34.00
499.00,5.00,38883.00,7393.00,4816.00,1.00,1.00,0.00,34.00
500.00,2.00,44129.00,8924.00,5366.00,0.00,0.00,0.00,34.00
501.00,4.00,35201.00,6565.00,4075.00,1.00,0.00,0.00,34.00
502.00,3.00,39562.00,7065.00,3812.00,0.00,0.00,0.00,34.00
503.00,1.00,39223.00,6892.00,5203.00,1.00,1.00,0.00,34.00
504.00,2.00,35301.00,6503.00,2844.00,1.00,0.00,0.00,34.00
505.00,3.00,53722.00,11271.00,5581.00,1.00,1.00,0.00,34.00
506.00,1.00,42258.00,7630.00,5324.00,1.00,1.00,0.00,34.00
507.00,1.00,30475.00,6674.00,2350.00,1.00,0.00,0.00,34.00
508.00,4.00,39844.00,7894.00,4509.00,1.00,0.00,0.00,34.00
509.00,1.00,38952.00,8617.00,3537.00,1.00,0.00,0.00,34.00
510.00,2.00,44837.00,9461.00,4224.00,1.00,1.00,0.00,34.00
511.00,3.00,43349.00,8855.00,3617.00,1.00,1.00,0.00,34.00
512.00,4.00,47314.00,9441.00,5298.00,1.00,0.00,0.00,34.00
513.00,3.00,42621.00,8334.00,4593.00,1.00,0.00,0.00,34.00
514.00,4.00,36344.00,8300.00,3826.00,0.00,0.00,0.00,34.00
515.00,4.00,44711.00,8483.00,5456.00,1.00,0.00,1.00,34.00
516.00,1.00,44816.00,8477.00,4684.00,1.00,0.00,0.00,35.00
517.00,5.00,43265.00,8878.00,3848.00,1.00,1.00,0.00,35.00
518.00,3.00,36798.00,7210.00,3460.00,0.00,1.00,1.00,35.00
519.00,2.00,38848.00,7976.00,4238.00,1.00,0.00,0.00,35.00
520.00,4.00,38370.00,8475.00,4585.00,1.00,1.00,0.00,35.00
521.00,2.00,38469.00,8135.00,4717.00,0.00,0.00,0.00,35.00
522.00,2.00,40371.00,7873.00,4082.00,0.00,0.00,0.00,35.00
523.00,5.00,33114.00,6879.00,3342.00,1.00,0.00,0.00,35.00
524.00,4.00,40004.00,7595.00,4344.00,1.00,0.00,0.00,35.00
525.00,2.00,39476.00,7628.00,3019.00,1.00,0.00,0.00,35.00
526.00,2.00,39124.00,8036.00,4532.00,0.00,0.00,0.00,36.00
527.00,2.00,40169.00,7189.00,4324.00,0.00,1.00,0.00,36.00
528.00,2.00,41512.00,8274.00,3813.00,1.00,1.00,0.00,36.00
529.00,3.00,37847.00,7138.00,4218.00,1.00,0.00,0.00,36.00
530.00,2.00,40763.00,7552.00,3955.00,1.00,0.00,1.00,36.00
531.00,4.00,33984.00,6517.00,2986.00,0.00,0.00,0.00,36.00
532.00,3.00,50802.00,10775.00,5540.00,1.00,0.00,0.00,36.00
533.00,3.00,38856.00,7614.00,3412.00,0.00,0.00,0.00,36.00
534.00,3.00,38825.00,8115.00,4160.00,1.00,0.00,1.00,36.00
535.00,3.00,36801.00,7505.00,3171.00,1.00,0.00,0.00,36.00
536.00,3.00,36783.00,7943.00,4241.00,1.00,0.00,0.00,36.00
537.00,5.00,41313.00,8177.00,4038.00,0.00,0.00,0.00,36.00
538.00,4.00,38745.00,6589.00,4650.00,1.00,0.00,1.00,36.00
539.00,1.00,34238.00,6954.00,2891.00,0.00,0.00,0.00,36.00
540.00,1.00,38726.00,7105.00,4199.00,1.00,1.00,0.00,36.00
541.00,3.00,38504.00,7557.00,4376.00,1.00,1.00,0.00,37.00
542.00,5.00,33243.00,7405.00,3232.00,1.00,0.00,0.00,37.00
543.00,4.00,35732.00,8140.00,4073.00,0.00,0.00,0.00,37.00
544.00,2.00,51030.00,9447.00,4391.00,1.00,0.00,0.00,37.00
545.00,4.00,40223.00,8888.00,3173.00,0.00,0.00,0.00,37.00
546.00,1.00,46372.00,9663.00,4207.00,1.00,0.00,0.00,37.00
547.00,1.00,43314.00,8863.00,3757.00,1.00,0.00,0.00,37.00
548.00,2.00,41689.00,8658.00,3975.00,1.00,0.00,1.00,37.00
549.00,1.00,44405.00,9434.00,4772.00,1.00,0.00,0.00,37.00
550.00,4.00,34941.00,6997.00,3162.00,1.00,0.00,0.00,37.00
551.00,1.00,34783.00,7185.00,3755.00,0.00,0.00,0.00,37.00
552.00,2.00,40525.00,8232.00,4224.00,0.00,0.00,0.00,37.00
553.00,2.00,36336.00,6728.00,3979.00,1.00,1.00,0.00,37.00
554.00,4.00,45853.00,8530.00,4956.00,0.00,0.00,0.00,37.00
555.00,2.00,44936.00,8520.00,4102.00,1.00,0.00,0.00,37.00
556.00,3.00,31249.00,6593.00,3191.00,1.00,1.00,0.00,37.00
557.00,1.00,41657.00,7846.00,3666.00,1.00,0.00,0.00,37.00
558.00,1.00,38256.00,8747.00,4082.00,1.00,1.00,0.00,37.00
559.00,1.00,33296.00,6094.00,3699.00,0.00,0.00,0.00,37.00
560.00,3.00,41905.00,8136.00,4155.00,1.00,1.00,0.00,37.00
561.00,5.00,46310.00,9568.00,5222.00,1.00,0.00,0.00,38.00
562.00,2.00,34604.00,7579.00,3168.00,0.00,1.00,0.00,38.00
563.00,5.00,32703.00,7860.00,3115.00,0.00,0.00,0.00,38.00
564.00,3.00,30052.00,5482.00,2728.00,1.00,1.00,0.00,38.00
565.00,2.00,43746.00,8266.00,4902.00,0.00,0.00,0.00,38.00
566.00,1.00,31143.00,5896.00,3745.00,0.00,0.00,0.00,38.00
567.00,3.00,38993.00,8277.00,2612.00,0.00,0.00,0.00,38.00
568.00,1.00,37472.00,7455.00,2832.00,1.00,1.00,0.00,38.00
569.00,2.00,45121.00,10623.00,4757.00,1.00,1.00,0.00,38.00
570.00,3.00,42084.00,8816.00,4207.00,1.00,0.00,0.00,38.00
571.00,4.00,37879.00,7575.00,3156.00,0.00,1.00,0.00,39.00
572.00,3.00,44671.00,9083.00,4949.00,0.00,1.00,0.00,39.00
573.00,1.00,42164.00,7300.00,4706.00,0.00,1.00,0.00,39.00
574.00,3.00,30906.00,6089.00,3623.00,0.00,1.00,0.00,39.00
575.00,3.00,36229.00,6869.00,3667.00,0.00,0.00,0.00,39.00
576.00,3.00,51093.00,10711.00,5549.00,0.00,0.00,0.00,39.00
577.00,1.00,37408.00,7851.00,3962.00,0.00,1.00,0.00,39.00
578.00,2.00,47224.00,9714.00,4488.00,1.00,0.00,0.00,39.00
579.00,3.00,39930.00,8028.00,3723.00,0.00,0.00,0.00,39.00
580.00,2.00,41999.00,8974.00,5284.00,0.00,0.00,0.00,39.00
581.00,2.00,46479.00,8348.00,4683.00,1.00,0.00,0.00,39.00
582.00,5.00,32662.00,6168.00,3043.00,1.00,1.00,0.00,39.00
583.00,2.00,35512.00,7178.00,3164.00,1.00,1.00,0.00,39.00
584.00,3.00,42948.00,7885.00,3636.00,0.00,0.00,0.00,39.00
585.00,2.00,42115.00,9151.00,4581.00,1.00,1.00,0.00,39.00
586.00,4.00,39166.00,7838.00,4176.00,0.00,0.00,0.00,40.00
587.00,2.00,42740.00,7633.00,3844.00,0.00,1.00,1.00,40.00
588.00,3.00,37801.00,7776.00,3695.00,1.00,1.00,0.00,40.00
589.00,5.00,44613.00,9887.00,5454.00,1.00,0.00,0.00,40.00
590.00,1.00,38201.00,9331.00,4114.00,1.00,0.00,0.00,40.00
591.00,2.00,40340.00,9434.00,4101.00,1.00,0.00,0.00,40.00
592.00,4.00,41213.00,9526.00,3905.00,0.00,0.00,0.00,40.00
593.00,2.00,38393.00,7008.00,3576.00,1.00,0.00,1.00,40.00
594.00,1.00,44254.00,9094.00,4509.00,1.00,0.00,0.00,40.00
595.00,2.00,42068.00,8696.00,3525.00,0.00,1.00,0.00,40.00
596.00,1.00,41520.00,7459.00,3694.00,0.00,1.00,0.00,40.00
597.00,4.00,39359.00,8875.00,3648.00,1.00,0.00,0.00,40.00
598.00,3.00,41106.00,8553.00,3622.00,1.00,1.00,0.00,40.00
599.00,3.00,40287.00,8723.00,3053.00,0.00,0.00,0.00,40.00
600.00,3.00,39987.00,7672.00,3847.00,1.00,1.00,0.00,40.00
601.00,2.00,37749.00,7358.00,3573.00,0.00,0.00,1.00,40.00
602.00,4.00,44279.00,9135.00,3684.00,0.00,1.00,0.00,40.00
603.00,2.00,39260.00,6869.00,3419.00,1.00,0.00,0.00,40.00
604.00,4.00,42332.00,8644.00,5456.00,1.00,1.00,1.00,40.00
605.00,2.00,36160.00,6722.00,3123.00,0.00,1.00,0.00,40.00
606.00,3.00,43123.00,8586.00,4379.00,1.00,0.00,0.00,41.00
607.00,1.00,45336.00,8440.00,5329.00,0.00,1.00,0.00,41.00
608.00,4.00,43474.00,10466.00,5152.00,0.00,0.00,0.00,41.00
609.00,1.00,42441.00,8613.00,5577.00,1.00,0.00,0.00,41.00
610.00,2.00,40968.00,8560.00,4080.00,1.00,0.00,1.00,41.00
611.00,2.00,41212.00,9040.00,3699.00,0.00,0.00,0.00,41.00
612.00,1.00,41449.00,7339.00,3473.00,1.00,0.00,0.00,41.00
613.00,1.00,47129.00,8889.00,5332.00,0.00,0.00,0.00,41.00
614.00,2.00,36774.00,8310.00,3897.00,0.00,0.00,0.00,41.00
615.00,1.00,41471.00,8059.00,3727.00,1.00,1.00,0.00,41.00
616.00,3.00,46411.00,8452.00,3835.00,1.00,0.00,0.00,42.00
617.00,1.00,45130.00,9910.00,3989.00,1.00,1.00,0.00,42.00
618.00,2.00,36730.00,6675.00,4123.00,1.00,1.00,0.00,42.00
619.00,3.00,31576.00,7251.00,3112.00,1.00,0.00,0.00,42.00
620.00,3.00,45678.00,10849.00,3915.00,0.00,1.00,0.00,42.00
621.00,2.00,46324.00,9328.00,5081.00,0.00,0.00,0.00,42.00
622.00,3.00,39225.00,7540.00,3722.00,1.00,1.00,0.00,42.00
623.00,3.00,37506.00,7570.00,3880.00,0.00,1.00,0.00,42.00
624.00,3.00,45747.00,9146.00,5454.00,1.00,1.00,0.00,42.00
625.00,1.00,39778.00,7962.00,4611.00,1.00,0.00,0.00,42.00
626.00,4.00,31644.00,6557.00,3276.00,1.00,1.00,0.00,42.00
627.00,3.00,53226.00,10965.00,5589.00,1.00,0.00,0.00,42.00
628.00,4.00,37220.00,8896.00,4095.00,1.00,0.00,0.00,42.00
629.00,2.00,41271.00,8422.00,3500.00,1.00,1.00,0.00,42.00
630.00,5.00,37406.00,6821.00,4147.00,1.00,1.00,0.00,42.00
631.00,4.00,38176.00,7852.00,4267.00,1.00,0.00,0.00,43.00
632.00,2.00,43575.00,9490.00,4815.00,1.00,0.00,0.00,43.00
633.00,1.00,43793.00,7829.00,4454.00,1.00,1.00,0.00,43.00
634.00,3.00,41705.00,9017.00,4789.00,1.00,0.00,0.00,43.00
635.00,1.00,46966.00,8899.00,4100.00,1.00,1.00,0.00,43.00
636.00,2.00,33860.00,7313.00,3587.00,0.00,1.00,0.00,43.00
637.00,4.00,31138.00,7211.00,3359.00,1.00,1.00,0.00,43.00
638.00,5.00,34248.00,7479.00,3414.00,0.00,0.00,0.00,43.00
639.00,4.00,38220.00,7569.00,3282.00,1.00,1.00,0.00,43.00
640.00,2.00,41975.00,8909.00,4407.00,0.00,0.00,0.00,43.00
641.00,2.00,42188.00,7985.00,4239.00,1.00,0.00,0.00,43.00
642.00,1.00,37763.00,8242.00,3605.00,1.00,1.00,0.00,43.00
643.00,3.00,41877.00,8872.00,4634.00,0.00,0.00,1.00,43.00
644.00,3.00,36636.00,6833.00,3847.00,1.00,0.00,1.00,43.00
645.00,4.00,48022.00,10183.00,4878.00,1.00,0.00,0.00,43.00
646.00,3.00,45505.00,9502.00,5288.00,1.00,0.00,0.00,43.00
647.00,2.00,38560.00,8486.00,3479.00,1.00,0.00,1.00,43.00
648.00,4.00,38868.00,7812.00,4514.00,1.00,0.00,0.00,43.00
649.00,4.00,39702.00,7254.00,4753.00,1.00,1.00,0.00,43.00
650.00,4.00,40639.00,6914.00,4291.00,0.00,1.00,0.00,43.00
651.00,4.00,40538.00,9280.00,4849.00,0.00,1.00,0.00,44.00
652.00,4.00,43090.00,8174.00,4115.00,1.00,0.00,0.00,44.00
653.00,5.00,41446.00,8834.00,4365.00,0.00,1.00,0.00,44.00
654.00,1.00,36483.00,8309.00,3518.00,1.00,1.00,0.00,44.00
655.00,1.00,38972.00,7984.00,3502.00,1.00,1.00,0.00,44.00
656.00,5.00,38170.00,6993.00,4209.00,0.00,1.00,0.00,44.00
657.00,4.00,46175.00,8497.00,5208.00,1.00,1.00,1.00,44.00
658.00,4.00,41524.00,8923.00,4448.00,1.00,1.00,0.00,44.00
659.00,1.00,41822.00,8455.00,4226.00,1.00,0.00,1.00,44.00
660.00,3.00,44292.00,9290.00,5223.00,1.00,1.00,0.00,44.00
661.00,3.00,46252.00,8491.00,4889.00,0.00,1.00,0.00,45.00
662.00,1.00,42563.00,9386.00,3724.00,0.00,0.00,0.00,45.00
663.00,4.00,42703.00,7692.00,3944.00,1.00,1.00,0.00,45.00
664.00,3.00,39641.00,6887.00,3192.00,1.00,1.00,0.00,45.00
665.00,1.00,41767.00,9238.00,3078.00,0.00,0.00,0.00,45.00
666.00,4.00,39970.00,9140.00,3343.00,1.00,0.00,0.00,45.00
667.00,3.00,34968.00,7760.00,3800.00,0.00,1.00,0.00,45.00
668.00,4.00,49027.00,10543.00,4805.00,0.00,1.00,0.00,45.00
669.00,2.00,40864.00,7775.00,4201.00,1.00,1.00,0.00,45.00
670.00,4.00,35640.00,7080.00,3330.00,1.00,0.00,0.00,45.00
671.00,4.00,48637.00,9994.00,6452.00,1.00,0.00,0.00,45.00
672.00,1.00,39844.00,8439.00,3974.00,0.00,0.00,0.00,45.00
673.00,4.00,46187.00,8285.00,3323.00,1.00,0.00,0.00,45.00
674.00,3.00,38419.00,8566.00,2982.00,1.00,0.00,0.00,45.00
675.00,1.00,38528.00,7557.00,3917.00,1.00,1.00,0.00,45.00
676.00,2.00,42816.00,9168.00,4235.00,1.00,0.00,0.00,46.00
677.00,5.00,44001.00,7512.00,4606.00,1.00,1.00,0.00,46.00
678.00,4.00,41652.00,7757.00,4087.00,1.00,0.00,0.00,46.00
679.00,2.00,46791.00,9168.00,5042.00,1.00,1.00,1.00,46.00
680.00,4.00,43465.00,8351.00,2929.00,1.00,1.00,0.00,46.00
681.00,4.00,45672.00,8520.00,5032.00,0.00,0.00,0.00,46.00
682.00,4.00,41309.00,8432.00,3476.00,1.00,1.00,1.00,46.00
683.00,4.00,42010.00,8418.00,2822.00,1.00,1.00,0.00,46.00
684.00,2.00,45244.00,8347.00,4946.00,1.00,0.00,0.00,46.00
685.00,3.00,36208.00,7326.00,4443.00,1.00,0.00,0.00,46.00
686.00,2.00,43098.00,8930.00,4572.00,1.00,0.00,0.00,46.00
687.00,1.00,42089.00,8266.00,5284.00,1.00,1.00,0.00,46.00
688.00,2.00,35257.00,7866.00,3896.00,0.00,0.00,0.00,46.00
689.00,2.00,34520.00,6969.00,4085.00,0.00,0.00,0.00,46.00
690.00,3.00,47039.00,9915.00,4129.00,1.00,1.00,0.00,46.00
691.00,4.00,38086.00,6501.00,3655.00,1.00,0.00,0.00,46.00
692.00,2.00,33523.00,6855.00,3763.00,0.00,0.00,1.00,46.00
693.00,2.00,45132.00,9408.00,3981.00,0.00,0.00,0.00,46.00
694.00,4.00,42900.00,7852.00,4601.00,0.00,1.00,1.00,46.00
695.00,4.00,41193.00,7164.00,4571.00,1.00,0.00,1.00,46.00
696.00,2.00,41713.00,7231.00,3831.00,1.00,0.00,0.00,47.00
697.00,2.00,30983.00,5989.00,3478.00,0.00,0.00,0.00,47.00
698.00,4.00,44962.00,9482.00,5015.00,1.00,0.00,0.00,47.00
699.00,2.00,45053.00,8601.00,4294.00,0.00,0.00,0.00,47.00
700.00,2.00,37291.00,7535.00,3082.00,1.00,0.00,0.00,47.00
701.00,5.00,42045.00,8697.00,4943.00,1.00,1.00,0.00,47.00
702.00,4.00,44527.00,7614.00,5362.00,1.00,0.00,0.00,47.00
703.00,1.00,40589.00,7065.00,4910.00,0.00,0.00,1.00,47.00
704.00,5.00,39005.00,8737.00,4950.00,1.00,0.00,0.00,47.00
705.00,4.00,44419.00,8315.00,6462.00,1.00,0.00,0.00,47.00
706.00,2.00,43626.00,9210.00,3923.00,0.00,1.00,0.00,48.00
707.00,2.00,40547.00,7697.00,3075.00,1.00,1.00,0.00,48.00
708.00,3.00,34669.00,7543.00,3243.00,1.00,1.00,0.00,48.00
709.00,4.00,44614.00,8329.00,5406.00,1.00,0.00,1.00,48.00
710.00,4.00,48354.00,10387.00,5102.00,1.00,1.00,0.00,48.00
711.00,4.00,30928.00,6040.00,2413.00,1.00,0.00,0.00,48.00
712.00,3.00,32156.00,6314.00,2716.00,1.00,1.00,0.00,48.00
713.00,4.00,48688.00,9904.00,4883.00,0.00,1.00,1.00,48.00
714.00,6.00,40267.00,7792.00,3037.00,1.00,0.00,1.00,48.00
715.00,3.00,36503.00,7378.00,4633.00,1.00,0.00,0.00,48.00
